schema_version,section,shape_index,shape_id,m,n,k,l,candidate_index,variant,method,metric,unit,evidence_class,campaign_count,campaign_1_value,campaign_2_value,campaign_3_value,mean,median,stdev_sample,cross_campaign_cv_percent,minimum,maximum,cross_campaign_cv_review_flag,notes
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,3,persistent_2cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.943696,0.946455,0.939760,0.943304,0.943696,0.003365,0.356688,0.939760,0.946455,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,3,persistent_2cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,5.630387,5.354518,6.024005,5.669637,5.630387,0.336465,not_applicable,5.354518,6.024005,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,4,heuristic_first_supported,cublaslt,kernel_time_ms,ms,measured_source_observation,3,0.078467,0.078339,0.078925,0.078577,0.078467,0.000308,0.392096,0.078339,0.078925,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,4,heuristic_first_supported,cublaslt,tflops,TFLOP/s,within_campaign_derived_estimate,3,1751.546501,1754.408410,1741.391239,1749.115383,1751.546501,6.840646,0.391092,1741.391239,1754.408410,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,4,heuristic_first_supported,cublaslt,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,1,4096x4096x4096x1,4096,4096,4096,1,4,heuristic_first_supported,cublaslt,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,not_applicable,0.000000,0.000000,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,best_cutedsl,1,4096x4096x4096x1,4096,4096,4096,1,not_applicable,not_applicable,cutedsl,best_cutedsl_variant,variant,within_campaign_derived_estimate,3,persistent_2cta,persistent_2cta,persistent_2cta,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,stable_best=persistent_2cta
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,1,nonpersistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,1.228720,1.230835,1.230320,1.229958,1.230320,0.001103,0.089670,1.228720,1.230835,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,1,nonpersistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,894.843113,893.305282,893.679407,893.942601,893.679407,0.801988,0.089714,893.305282,894.843113,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,1,nonpersistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.425382,0.424783,0.425435,0.425200,0.425382,0.000362,0.085072,0.424783,0.425435,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,1,nonpersistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,57.461815,57.521658,57.456530,57.480001,57.461815,0.036173,not_applicable,57.456530,57.521658,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,2,persistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.884893,0.884675,0.884605,0.884724,0.884675,0.000150,0.016978,0.884605,0.884893,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,2,persistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,1242.536465,1242.842127,1242.941010,1242.773201,1242.842127,0.210896,0.016970,1242.536465,1242.941010,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,2,persistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.590665,0.590995,0.591700,0.591120,0.590995,0.000529,0.089464,0.590665,0.591700,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,2,persistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,40.933506,40.900526,40.829985,40.888006,40.900526,0.052884,not_applicable,40.829985,40.933506,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,3,persistent_2cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.763072,0.763155,0.763088,0.763105,0.763088,0.000044,0.005770,0.763072,0.763155,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,3,persistent_2cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,1440.901524,1440.744420,1440.871361,1440.839102,1440.871361,0.083372,0.005786,1440.744420,1440.901524,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,3,persistent_2cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.684962,0.685101,0.685925,0.685329,0.685101,0.000520,0.075928,0.684962,0.685925,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,3,persistent_2cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,31.503820,31.489901,31.407542,31.467088,31.489901,0.052036,not_applicable,31.407542,31.503820,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,4,heuristic_first_supported,cublaslt,kernel_time_ms,ms,measured_source_observation,3,0.522675,0.522838,0.523421,0.522978,0.522838,0.000392,0.074996,0.522675,0.523421,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,4,heuristic_first_supported,cublaslt,tflops,TFLOP/s,within_campaign_derived_estimate,3,2103.623185,2102.966469,2100.626504,2102.405386,2102.966469,1.575162,0.074922,2100.626504,2103.623185,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,4,heuristic_first_supported,cublaslt,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,2,8192x8192x8192x1,8192,8192,8192,1,4,heuristic_first_supported,cublaslt,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,not_applicable,0.000000,0.000000,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,best_cutedsl,2,8192x8192x8192x1,8192,8192,8192,1,not_applicable,not_applicable,cutedsl,best_cutedsl_variant,variant,within_campaign_derived_estimate,3,persistent_2cta,persistent_2cta,persistent_2cta,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,stable_best=persistent_2cta
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,1,nonpersistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.113088,0.114003,0.113603,0.113565,0.113603,0.000459,0.403913,0.113088,0.114003,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,1,nonpersistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,607.663738,602.785479,604.907939,605.119052,604.907939,2.445972,0.404213,602.785479,607.663738,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,1,nonpersistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.426203,0.421518,0.421509,0.423077,0.421518,0.002707,0.639880,0.421509,0.426203,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,1,nonpersistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,57.379741,57.848203,57.849073,57.692339,57.848203,0.270718,not_applicable,57.379741,57.849073,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,2,persistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.088061,0.088131,0.089514,0.088569,0.088131,0.000819,0.925192,0.088061,0.089514,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,2,persistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,780.363964,779.740611,767.698728,775.934434,779.740611,7.139138,0.920070,767.698728,780.363964,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,2,persistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.547331,0.545260,0.534944,0.542512,0.545260,0.006635,1.222973,0.534944,0.547331,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,2,persistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,45.266909,45.474021,46.505558,45.748829,45.474021,0.663478,not_applicable,45.266909,46.505558,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,3,persistent_2cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.084851,0.084515,0.084451,0.084606,0.084515,0.000215,0.253956,0.084451,0.084851,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,3,persistent_2cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,809.882208,813.101964,813.718193,812.234122,813.101964,2.059990,0.253620,809.882208,813.718193,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,3,persistent_2cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.568034,0.568589,0.567012,0.567878,0.568034,0.000800,0.140906,0.567012,0.568589,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,3,persistent_2cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,43.196561,43.141117,43.298850,43.212176,43.196561,0.080017,not_applicable,43.141117,43.298850,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,4,heuristic_first_supported,cublaslt,kernel_time_ms,ms,measured_source_observation,3,0.048198,0.048054,0.047885,0.048046,0.048054,0.000157,0.326078,0.047885,0.048198,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,4,heuristic_first_supported,cublaslt,tflops,TFLOP/s,within_campaign_derived_estimate,3,1425.762644,1430.035056,1435.099974,1430.299225,1430.035056,4.674267,0.326803,1425.762644,1435.099974,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,4,heuristic_first_supported,cublaslt,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,3,16384x512x4096x1,16384,512,4096,1,4,heuristic_first_supported,cublaslt,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,not_applicable,0.000000,0.000000,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,best_cutedsl,3,16384x512x4096x1,16384,512,4096,1,not_applicable,not_applicable,cutedsl,best_cutedsl_variant,variant,within_campaign_derived_estimate,3,persistent_2cta,persistent_2cta,persistent_2cta,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,stable_best=persistent_2cta
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,1,nonpersistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.222083,0.221440,0.222224,0.221916,0.222083,0.000418,0.188328,0.221440,0.222224,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,1,nonpersistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,618.862420,620.659999,618.470351,619.330923,618.862420,1.167588,0.188524,618.470351,620.659999,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,1,nonpersistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.411838,0.412803,0.411880,0.412174,0.411880,0.000546,0.132365,0.411838,0.412803,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,1,nonpersistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,58.816159,58.719655,58.812008,58.782607,58.812008,0.054558,not_applicable,58.719655,58.816159,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,2,persistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.185990,0.186474,0.185571,0.186012,0.185990,0.000452,0.242936,0.185571,0.186474,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,2,persistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,738.957224,737.042436,740.626505,738.875388,738.957224,1.793435,0.242725,737.042436,740.626505,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,2,persistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.491759,0.490210,0.493232,0.491733,0.491759,0.001511,0.307296,0.490210,0.493232,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,2,persistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,50.824131,50.979013,50.676830,50.826658,50.824131,0.151107,not_applicable,50.676830,50.979013,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,3,persistent_2cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.181274,0.181110,0.181421,0.181268,0.181274,0.000156,0.085827,0.181110,0.181421,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,3,persistent_2cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,758.185146,758.868342,757.569976,758.207821,758.185146,0.649480,0.085660,757.569976,758.868342,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,3,persistent_2cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.504554,0.504726,0.504515,0.504599,0.504554,0.000112,0.022240,0.504515,0.504726,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,3,persistent_2cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,49.544558,49.527363,49.548453,49.540125,49.544558,0.011222,not_applicable,49.527363,49.548453,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,4,heuristic_first_supported,cublaslt,kernel_time_ms,ms,measured_source_observation,3,0.091462,0.091411,0.091530,0.091468,0.091462,0.000060,0.065271,0.091411,0.091530,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,4,heuristic_first_supported,cublaslt,tflops,TFLOP/s,within_campaign_derived_estimate,3,1502.682601,1503.524269,1501.579279,1502.595383,1502.682601,0.975424,0.064916,1501.579279,1503.524269,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,4,heuristic_first_supported,cublaslt,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,4,32768x512x4096x1,32768,512,4096,1,4,heuristic_first_supported,cublaslt,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,not_applicable,0.000000,0.000000,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,best_cutedsl,4,32768x512x4096x1,32768,512,4096,1,not_applicable,not_applicable,cutedsl,best_cutedsl_variant,variant,within_campaign_derived_estimate,3,persistent_2cta,persistent_2cta,persistent_2cta,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,stable_best=persistent_2cta
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,1,nonpersistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.091040,0.090765,0.090118,0.090641,0.090765,0.000473,0.522217,0.090118,0.091040,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,1,nonpersistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,754.827315,757.115916,762.546550,758.163260,757.115916,3.964763,0.522943,754.827315,762.546550,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,1,nonpersistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.505062,0.509413,0.513458,0.509311,0.509413,0.004199,0.824467,0.505062,0.513458,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,1,nonpersistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,49.493848,49.058666,48.654215,49.068910,49.058666,0.419910,not_applicable,48.654215,49.493848,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,2,persistent_1cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.062189,0.062483,0.062067,0.062246,0.062189,0.000214,0.343545,0.062067,0.062483,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,2,persistent_1cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,1105.013744,1099.807301,1107.178641,1103.999895,1105.013744,3.788810,0.343189,1099.807301,1107.178641,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,2,persistent_1cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.739374,0.739988,0.745515,0.741626,0.739988,0.003382,0.456016,0.739374,0.745515,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,2,persistent_1cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,26.062570,26.001224,25.448544,25.837446,26.001224,0.338193,not_applicable,25.448544,26.062570,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,3,persistent_2cta,cutedsl,kernel_time_ms,ms,measured_source_observation,3,0.053968,0.054240,0.054102,0.054103,0.054102,0.000136,0.251380,0.053968,0.054240,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,3,persistent_2cta,cutedsl,tflops,TFLOP/s,within_campaign_derived_estimate,3,1273.337463,1266.951999,1270.174207,1270.154556,1270.174207,3.192777,0.251369,1266.951999,1273.337463,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,3,persistent_2cta,cutedsl,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,0.852001,0.852448,0.855267,0.853239,0.852448,0.001771,0.207517,0.852001,0.855267,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,3,persistent_2cta,cutedsl,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,14.799884,14.755161,14.473298,14.676114,14.755161,0.177062,not_applicable,14.473298,14.799884,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,4,heuristic_first_supported,cublaslt,kernel_time_ms,ms,measured_source_observation,3,0.045981,0.046237,0.046272,0.046163,0.046237,0.000159,0.344152,0.045981,0.046272,ok,measured_campaign_level_input
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,4,heuristic_first_supported,cublaslt,tflops,TFLOP/s,within_campaign_derived_estimate,3,1494.525496,1486.250671,1485.120067,1488.632078,1486.250671,5.135061,0.344952,1485.120067,1494.525496,ok,derived_within_campaign_value
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,4,heuristic_first_supported,cublaslt,throughput_ratio_vs_cublaslt,ratio,within_campaign_derived_estimate,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,ok,derived_within_campaign_ratio_never_recomputed_from_aggregates
gb300.analysis.v1,candidate,5,512x16384x4096x1,512,16384,4096,1,4,heuristic_first_supported,cublaslt,gap_to_cublaslt_pct,percent,within_campaign_derived_estimate,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,not_applicable,0.000000,0.000000,not_applicable,signed_metric_cv_not_computed_negative_gaps_never_clamped
gb300.analysis.v1,best_cutedsl,5,512x16384x4096x1,512,16384,4096,1,not_applicable,not_applicable,cutedsl,best_cutedsl_variant,variant,within_campaign_derived_estimate,3,persistent_2cta,persistent_2cta,persistent_2cta,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,stable_best=persistent_2cta
