schema_version,section,method,scale,metric,unit,evidence_class,campaign_count,campaign_1_value,campaign_2_value,campaign_3_value,mean,median,stdev_sample,cross_campaign_cv_percent,minimum,maximum,cross_campaign_cv_review_flag,notes
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,isolated,median_kernel_time_ms,ms,cuda_event_measured,3,17.574385,17.474224,17.438096,17.495569,17.474224,0.070607,0.4036,17.438096,17.574385,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,isolated,median_tflops_per_planned_active_sm,TFLOP/s/SM,cuda_event_measured,3,15.274268,15.361797,15.393622,15.343229,15.361797,0.061806,0.4028,15.274268,15.393622,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,isolated,median_tflops_per_evidenced_active_sm,TFLOP/s/SM,cuda_event_measured,3,15.274268,15.361797,15.393622,15.343229,15.361797,0.061806,0.4028,15.274268,15.393622,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,isolated,within_campaign_sample_count,not_applicable,diagnostic,3,30,30,30,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,isolated,within_campaign_total_tflops_cv_percent,not_applicable,diagnostic,3,1.402631,0.995366,0.630714,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,isolated,grid_blocks,not_applicable,diagnostic,3,2,2,2,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,isolated,cluster_size,not_applicable,diagnostic,3,2,2,2,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,isolated,work_unit_count,not_applicable,diagnostic,3,1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,isolated,planned_active_sm_count,not_applicable,diagnostic,3,2,2,2,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,isolated,unused_sm_count,not_applicable,diagnostic,3,146,146,146,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,isolated,coverage_status,not_applicable,diagnostic,3,isolated_unit,isolated_unit,isolated_unit,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,isolated,max_active_clusters,not_applicable,diagnostic,3,74,74,74,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,device_scale,median_total_tflops,TFLOP/s,cuda_event_measured,3,2263.506067,2285.815065,2289.382817,2279.567983,2285.815065,14.023947,0.6152,2263.506067,2289.382817,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,device_scale,median_kernel_time_ms,ms,cuda_event_measured,3,17.551985,17.380431,17.353344,17.428587,17.380431,0.107721,0.6181,17.353344,17.551985,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,device_scale,median_tflops_per_planned_active_sm,TFLOP/s/SM,cuda_event_measured,3,15.293960,15.444696,15.468803,15.402487,15.444696,0.094756,0.6152,15.293960,15.468803,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,device_scale,median_tflops_per_evidenced_active_sm,TFLOP/s/SM,cuda_event_measured,3,15.293960,15.444696,15.468803,15.402487,15.444696,0.094756,0.6152,15.293960,15.468803,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,device_scale,within_campaign_sample_count,not_applicable,diagnostic,3,30,30,30,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,configuration,umma_1sm,device_scale,within_campaign_total_tflops_cv_percent,not_applicable,diagnostic,3,1.299643,0.674333,0.427079,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,device_scale,grid_blocks,not_applicable,diagnostic,3,148,148,148,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,device_scale,cluster_size,not_applicable,diagnostic,3,1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,device_scale,work_unit_count,not_applicable,diagnostic,3,148,148,148,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,device_scale,planned_active_sm_count,not_applicable,diagnostic,3,148,148,148,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,device_scale,unused_sm_count,not_applicable,diagnostic,3,0,0,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,device_scale,coverage_status,not_applicable,diagnostic,3,full_device_coverage,full_device_coverage,full_device_coverage,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_1sm,device_scale,max_active_clusters,not_applicable,diagnostic,3,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,device_scale,median_total_tflops,TFLOP/s,cuda_event_measured,3,2248.976922,2263.060810,2266.016418,2259.351383,2263.060810,9.105273,0.4030,2248.976922,2266.016418,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,device_scale,median_kernel_time_ms,ms,cuda_event_measured,3,17.665120,17.555183,17.532288,17.584197,17.555183,0.071010,0.4038,17.532288,17.665120,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,device_scale,median_tflops_per_planned_active_sm,TFLOP/s/SM,cuda_event_measured,3,15.195790,15.290952,15.310921,15.265888,15.290952,0.061522,0.4030,15.195790,15.310921,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,device_scale,median_tflops_per_evidenced_active_sm,TFLOP/s/SM,cuda_event_measured,3,15.195790,15.290952,15.310921,15.265888,15.290952,0.061522,0.4030,15.195790,15.310921,False,median_of_repetitions_then_descriptive_statistics_across_three_campaigns
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,device_scale,within_campaign_sample_count,not_applicable,diagnostic,3,30,30,30,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,configuration,umma_2sm,device_scale,within_campaign_total_tflops_cv_percent,not_applicable,diagnostic,3,0.547692,0.420044,0.313555,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,device_scale,grid_blocks,not_applicable,diagnostic,3,148,148,148,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,device_scale,cluster_size,not_applicable,diagnostic,3,2,2,2,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,device_scale,work_unit_count,not_applicable,diagnostic,3,74,74,74,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,device_scale,planned_active_sm_count,not_applicable,diagnostic,3,148,148,148,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,device_scale,unused_sm_count,not_applicable,diagnostic,3,0,0,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,device_scale,coverage_status,not_applicable,diagnostic,3,full_device_coverage,full_device_coverage,full_device_coverage,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,coverage,umma_2sm,device_scale,max_active_clusters,not_applicable,diagnostic,3,74,74,74,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,ideal_linear_1sm_tflops,TFLOP/s,derived,3,2279.870958,2297.678984,2298.046690,2291.865544,2297.678984,10.389243,0.4533,2279.870958,2298.046690,False,derived_from_per_campaign_medians
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,ideal_linear_2sm_tflops,TFLOP/s,derived,3,2260.591516,2273.545882,2278.256019,2270.797806,2273.545882,9.147273,0.4028,2260.591516,2278.256019,False,derived_from_per_campaign_medians
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,scaling_efficiency_1sm_percent,percent,derived,3,99.282201,99.483656,99.622990,99.462949,99.483656,0.171335,0.1723,99.282201,99.622990,False,derived_from_per_campaign_medians
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,scaling_efficiency_2sm_percent,percent,derived,3,99.486214,99.538823,99.462764,99.495934,99.486214,0.038950,0.0391,99.462764,99.538823,False,derived_from_per_campaign_medians
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,gap_from_ideal_1sm_percent,percent,derived,3,0.717799,0.516344,0.377010,0.537051,0.516344,0.171335,31.9030,0.377010,0.717799,True,derived_from_per_campaign_medians
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,gap_from_ideal_2sm_percent,percent,derived,3,0.513786,0.461177,0.537236,0.504066,0.513786,0.038950,7.7271,0.461177,0.537236,True,derived_from_per_campaign_medians
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,device_total_ratio_2sm_over_1sm,ratio,derived,3,0.993581,0.990045,0.989794,0.991140,0.990045,0.002118,0.2137,0.989794,0.993581,False,derived_from_per_campaign_medians
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,device_per_active_sm_ratio_2sm_over_1sm,ratio,derived,3,0.993581,0.990045,0.989794,0.991140,0.990045,0.002118,0.2137,0.989794,0.993581,False,derived_from_per_campaign_medians
gb300.umma-scaling-analysis.v1,scaling,not_applicable,not_applicable,equal_active_sm_coverage,not_applicable,diagnostic,3,True,True,True,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_only_not_aggregated
